titulo,autor,anio_publicacion,decada,idioma,categoria,num_ediciones,rating_promedio,num_ratings
The Future Is Faster Than You Think,Peter H. Diamandis,2020,2020s,English,technology,5,3.5,2.0
Timeline,Michael Crichton,1999,1990s,German,technology,64,3.5084746,59.0
The processes of technological innovation,Louis G. Tornatzky,1990,1990s,English,technology,1,5.0,2.0
Machine design,Aaron D. Deutschman,1975,1970s,English,technology,4,3.0,2.0
Introduction to Fluid Power,James L Johnson,2001,2000s,English,technology,1,4.0,2.0
Indistractable,Nir Eyal,2019,2010s,English,technology,5,3.8888888,9.0
"Science, technology, and society",Robert E. McGinn,1991,1990s,English,technology,1,3.0,1.0
Demon Seed,Dean Koontz,1973,1970s,German,technology,26,4.0,6.0
Who Owns the Future?,Jaron Lanier,2013,2010s,English,technology,7,4.0,3.0
"Post harvest technology of cereals, pulses and oilseeds",Amalendu Chakraverty,1988,1980s,English,technology,2,3.5,6.0
Novacene,James Lovelock,2019,2010s,English,technology,9,5.0,4.0
Rainbow six,Tom Clancy,1998,1990s,Chinese,technology,25,3.8333333,36.0
Grunch of giants,R. Buckminster Fuller,1983,1980s,English,technology,4,5.0,3.0
"Fall; or, Dodge in Hell",Neal Stephenson,2019,2010s,English,technology,9,2.8888888,9.0
Jejak pemikiran B.J. Habibie,B. J. Habibie,2010,2010s,Other,technology,1,5.0,6.0
Bad Blood,John Carreyrou,2018,2010s,Chinese,technology,19,4.283019,53.0
Abundance,Peter H. Diamandis,2012,2010s,English,technology,5,3.25,4.0
R.U.R. and The insect play,Karel Čapek,1920,1920s,Spanish,technology,147,3.75,8.0
Managing engineering and technology,Lucy Morse,2006,2000s,English,technology,11,1.0,1.0
The Day the Universe Changed,"Burke, James",1985,1980s,English,technology,10,4.5,2.0
Toyota Production System,Taiichi Ohno,1988,1980s,English,technology,6,3.3333333,3.0
Digital Electronics,William Kleitz,1987,1980s,English,technology,24,3.0,1.0
"Engineering Mechanics, Statics & Dynamics",R. C. Hibbeler,1974,1970s,English,technology,55,4.6153846,13.0
Rise of the Robots,Martin Ford,1708,1700s,English,technology,9,4.4,10.0
The Way Things Work,David Macaulay,1988,1980s,Chinese,technology,26,4.2222223,9.0
Synthesis/Processing of Lightweight Metallic Materials,Desconocido,1996,1990s,English,technology,1,4.0,1.0
Power hydraulics,Michael J. Pinches,1988,1980s,English,technology,2,4.0,2.0
Ignited Minds,A. P. J. Abdul Kalam,2012,2010s,English,technology,2,3.9333334,15.0
The Right Stuff,Tom Wolfe,1979,1970s,Spanish,technology,32,4.266667,15.0
The Knowledge,Lewis Dartnell,2014,2010s,Spanish,technology,9,4.0,3.0
Technopoly,Neil Postman,1992,1990s,English,technology,5,3.857143,7.0
Building a Second Brain,Tiago Forte,2022,2020s,English,technology,8,3.5555556,9.0
Soonish,Kelly Weinersmith,2017,2010s,English,technology,5,4.0,5.0
The real world of technology,Ursula M. Franklin,1990,1990s,English,technology,3,4.0,4.0
ICT,Chris Abbott,2000,2000s,English,technology,6,5.0,1.0
In the Beginning...Was the Command Line,Neal Stephenson,1999,1990s,German,technology,10,3.68,25.0
Masters of Doom,David Kushner,2003,2000s,English,technology,9,4.1714287,35.0
Wastewater treatment plants,Syed R. Qasim,1985,1980s,English,technology,10,4.6666665,3.0
Networking for dummies,Doug Lowe,1994,1990s,English,technology,9,5.0,1.0
Democratizing innovation,Eric von Hippel,2005,2000s,English,technology,6,4.1666665,6.0
Understanding automotive electronics,William B. Ribbens,1982,1980s,Spanish,technology,12,5.0,1.0
Extreme Privacy,Michael Bazzell,2019,2010s,English,technology,5,5.0,1.0
You are not a gadget,Jaron Lanier,2010,2010s,English,technology,4,3.4285715,7.0
Sensory evaluation techniques,Morten Meilgaard,1987,1980s,English,technology,23,4.0,1.0
Design Is a Job,Mike Monteiro,2012,2010s,English,technology,1,3.8333333,6.0
Introduction to electric circuits,Herbert W. Jackson,1959,1950s,English,technology,25,5.0,1.0
Plastics materials,J. A. Brydson,1966,1960s,English,technology,13,1.0,1.0
ההיסטוריה של המחר,Yuval Noah Harari,2015,2010s,English,technology,35,4.21875,32.0
Only the paranoid survive,Andrew S. Grove,1996,1990s,English,technology,4,3.0,2.0
Engineering tribology,G. W. Stachowiak,1993,1990s,English,technology,11,1.5,2.0
The existential pleasures of engineering,Samuel C. Florman,1975,1970s,English,technology,10,3.0,1.0
Modern Engineering Mathematics,Glyn James,1920,1920s,English,technology,12,5.0,1.0
Picasso,Pablo Picasso,1926,1920s,German,art,240,3.909091,22.0
Ways of Seeing,John Berger,1972,1970s,English,art,16,4.0,18.0
Vincent van Gogh,Vincent van Gogh,1914,1910s,German,art,114,4.15,20.0
Paul Klee,Paul Klee,1930,1930s,Other,art,150,3.7333333,15.0
Chto takoe iskusstvo? / What is art?,Лев Толстой,1898,1890s,Other,art,44,3.3333333,3.0
The story of art,E. H. Gombrich,1950,1950s,English,art,44,4.1875,16.0
Van Gogh,Federico Zeri,1937,1930s,German,art,91,5.0,4.0
Henry Moore,David Sylvester,1934,1930s,Dutch,art,146,4.388889,18.0
Homeport,Nora Roberts,1998,1990s,Spanish,art,38,3.5,4.0
Art history,Marilyn Stokstad,1995,1990s,English,art,46,4.5,4.0
Public Speaking and Influencing Men in Business,Dale Carnegie,1926,1920s,English,art,59,4.285714,14.0
Leonardo,Leonardo da Vinci,1946,1940s,German,art,89,3.9487178,39.0
"Vite de' più eccellenti pittori, scultori et architettori",Giorgio Vasari,1759,1750s,French,art,91,3.0,4.0
Andy Warhol,Andy Warhol,1967,1960s,Other,art,84,4.75,4.0
History of art,H. W. Janson,1962,1960s,English,art,48,4.5,6.0
Gorin no sho,Miyamoto Musashi,1963,1960s,French,art,236,3.7837837,37.0
Art & fear,David Bayles,1993,1990s,English,art,12,4.25,8.0
"Painting with Crayons, Pastels and Chalks (The Complete Art Course)",Desconocido,1994,1990s,Other,art,1,4.390244,41.0
Art Through the Ages,Helen Gardner,1926,1920s,English,art,74,5.0,2.0
Die Gestalt des Menschen,Gottfried Bammes,1973,1970s,English,art,8,4.090909,11.0
Kunst in fernen Welten.,Desconocido,1949,1940s,German,art,1,3.8666666,15.0
Naturalis historia,Pliny the Elder,1469,1460s,German,art,100,3.8,5.0
The dot,Peter H. Reynolds,2003,2000s,Japanese,art,28,4.642857,14.0
Production for graphic designers,Alan Pipes,1992,1990s,English,art,12,5.0,2.0
Gardner's Art Through the Ages,Fred S. Kleiner,2009,2000s,English,art,30,4.5,2.0
The Art of Public Speaking,Stephen E. Lucas,1983,1980s,English,art,80,3.1666667,6.0
Art and illusion,E. H. Gombrich,1960,1960s,English,art,20,4.6666665,3.0
How to Talk to Anyone,Leil Lowndes,1999,1990s,Other,art,10,3.8474576,59.0
Sozialgeschichte der Kunst und Literatur,Arnold Hauser,1951,1950s,English,art,129,2.6666667,3.0
Arts & Architecture,Desconocido,1998,1990s,English,art,1,4.076923,13.0
How to Do Nothing,Jenny Odell,2019,2010s,English,art,13,4.0833335,24.0
"The Renaissance, Studies in Art and Poetry",Walter Pater,1873,1870s,German,art,156,5.0,1.0
Georg Baselitz,Georg Baselitz,1970,1970s,Other,art,113,4.0,1.0
"Ancient, Medieval, and Non-European Art",Helen Gardner,1980,1980s,English,art,17,4.0,1.0
Concepts of Modern Art,Nikos Stangos,1974,1970s,English,art,12,4.0,2.0
Art,Frederick Hartt,1969,1960s,English,art,37,5.0,3.0
Janson's history of art,H. W. Janson,2006,2000s,English,art,16,4.75,4.0
By the Stage Door,Ada Patterson,2005,2000s,English,art,1,5.0,3.0
Dell'Arte della Guerra,Niccolò Machiavelli,1540,1540s,Other,art,140,3.6363637,11.0
How to Master the Art of Selling,Tom Hopkins,1980,1980s,English,art,9,3.2857144,7.0
Concerning the spiritual in art,Wassily Kandinsky,1912,1910s,Russian,art,24,5.0,3.0
The Book,Hungry Minds,2022,2020s,Spanish,art,2,4.428571,14.0
Con/textual,Desconocido,2001,2000s,English,art,1,5.0,6.0
1000 Chairs,Charlotte Fiell,1997,1990s,French,art,4,4.25,8.0
Rembrandt,Rembrandt Harmenszoon van Rijn,1900,1900s,French,art,93,4.2,5.0
What great paintings say,Rose-Marie Hagen,1993,1990s,English,art,7,5.0,1.0
Art and revolution,John Berger,1969,1960s,English,art,13,1.0,1.0
Composition of outdoor painting,Edgar Alwin Payne,1941,1940s,English,art,4,4.6666665,3.0
The art of ancient Egypt,Gay Robins,1997,1990s,English,art,5,3.0,1.0
Talk Like TED,Carmine Gallo,2014,2010s,Other,art,10,3.5925925,27.0
Design basics,David A. Lauer,2002,2000s,English,art,10,5.0,1.0
Color and light,James Gurney,2010,2010s,English,art,2,5.0,3.0
The Art of War,孙武 (Sun Tzu),1900,1900s,German,art,1542,4.081761,159.0
La tabla de Flandes,Arturo Pérez-Reverte,1990,1990s,German,art,47,3.875,8.0
Design as art,Bruno Munari,1971,1970s,Italian,art,3,4.0,3.0
Graphic design,Milton Glaser,1973,1970s,English,art,6,4.0,1.0
"Bauhaus, 1919-1933",Magdalena Droste,1990,1990s,Spanish,art,9,4.6666665,3.0
Imaginative Realism,James Gurney,2009,2000s,English,art,1,5.0,3.0
About Looking,John Berger,1980,1980s,English,art,9,3.5,2.0
Art since 1940,Jonathan David Fineberg,1995,1990s,English,art,8,4.0,1.0
Indian art,Roy C. Craven,1976,1970s,English,art,6,3.0,1.0
Picasso,William S. Lieberman,1932,1930s,German,art,87,3.5,4.0
Kandinsky,Wassily Kandinsky,1947,1940s,Other,art,54,5.0,2.0
The two paths,John Ruskin,1859,1850s,English,art,42,3.0,1.0
A survey of Persian art from prehistoric times to the present,"Pope, Arthur Upham",1938,1930s,English,art,6,1.0,1.0
The Call of Cthulhu,H.P. Lovecraft,2016,2010s,English,art,5,2.75,4.0
"Trésors d'art médiéval Bulgare, VIIe-XVIe siècle",Desconocido,1988,1980s,French,art,1,4.25,8.0
Ogilvy on advertising,David Ogilvy,1983,1980s,French,art,15,3.5,6.0
The art of Tantra,Philip S. Rawson,1973,1970s,English,art,4,4.5,2.0
Art et beauté dans l'esthétique médiévale,Umberto Eco,1986,1980s,English,art,14,4.0,1.0
Graphic design,Richard Hollis,1994,1990s,English,art,4,4.0,3.0
Egon Schiele,Egon Schiele,1957,1950s,English,art,47,4.0,1.0
Symbolic images,E. H. Gombrich,1972,1970s,English,art,10,4.0,1.0
Études sur les arts du Moyen âge.,Prosper Mérimée,1967,1960s,French,art,1,4.2,5.0
Botero: La corrida,Fernando Botero,1970,1970s,Spanish,art,47,4.5,2.0
Creative illustration,Andrew Loomis,1947,1940s,English,art,9,4.0,1.0
The Stones of Venice,John Ruskin,1851,1850s,English,art,99,4.5,2.0
Drawing the head and hands,Andrew Loomis,1956,1950s,English,art,10,4.571429,7.0
