titulo,autor,anio_publicacion,decada,idioma,categoria,num_ediciones,rating_promedio,num_ratings
Discrete Mathematics with Applications,Susanna S. Epp,1990,1990s,English,science,16,3.2,5.0
Rocannon's World,Ursula K. Le Guin,1966,1960s,German,science,26,3.642857,14.0
The Science Fiction Hall of Fame -- Volume One,Robert Silverberg,1970,1970s,English,science,31,4.5,6.0
A Briefer History of Time,Stephen Hawking,2005,2000s,Chinese,science,34,3.652174,23.0
The Chrysalids,John Wyndham,1955,1950s,English,science,37,4.3333335,9.0
The Ringworld throne,Larry Niven,1996,1990s,English,science,11,3.15,20.0
Protector,Larry Niven,1973,1970s,English,science,19,4.0666666,15.0
Abaddon’s Gate,James S. A. Corey,2013,2010s,English,science,12,4.147059,68.0
The player of games,Iain Banks,1988,1980s,German,science,23,4.202532,79.0
Bumi Manusia,Pramoedya Ananta Toer,1972,1970s,Dutch,science,18,4.4246573,73.0
"Works (Hitch Hiker's Guide to the Galaxy / Restaurant at the End of the Universe / Life, the Universe and Everything / So Long, and Thanks for All the Fish / Mostly Harmless / Young Zaphod Plays it Safe)",Douglas Adams,1996,1990s,Italian,science,10,4.4134617,104.0
The Sirens of Titan,Kurt Vonnegut,1959,1950s,Spanish,science,31,3.8333333,12.0
Diaspora,Greg Egan,1997,1990s,English,science,12,3.5714285,14.0
Blindsight,Peter Watts,2006,2000s,Chinese,science,12,4.076923,65.0
The Martian,Andy Weir,2011,2010s,Italian,science,74,4.3944955,327.0
Broken Angels,Richard K. Morgan,2003,2000s,English,science,16,3.5,28.0
The Rise of Endymion,Dan Simmons,1997,1990s,Spanish,science,14,4.0,21.0
Prelude to Foundation,Isaac Asimov,1988,1980s,Portuguese,science,43,3.75,12.0
Pebble in the Sky,Isaac Asimov,1950,1950s,German,science,42,4.1153846,26.0
Defy Me (Shatter Me),Tahereh Mafi,2019,2010s,English,science,8,4.75,16.0
On Basilisk Station,David Weber,1993,1990s,German,science,18,3.5217392,23.0
Green Mars,Kim Stanley Robinson,1993,1990s,German,science,30,3.7837837,37.0
Shatter Me Complete Collection,Tahereh Mafi,2011,2010s,English,science,4,4.3846154,26.0
The Day of the Triffids,John Wyndham,1951,1950s,Spanish,science,63,4.0487804,41.0
Debt,David Graeber,2011,2010s,Italian,history,11,4.6136365,44.0
The Story of Philosophy,Will Durant,1926,1920s,German,history,147,4.111111,18.0
A People's History of the United States,Howard Zinn,1980,1980s,Other,history,44,4.162791,43.0
Ringkasan sejarat filsafat,K. Bertens,1975,1970s,English,history,1,4.6,20.0
The great conversation,Norman Melchert,1991,1990s,English,history,37,4.1538463,13.0
Mga gunita ng himagsikan,Emilio Aguinaldo,1998,1990s,Other,history,1,3.85,20.0
Thirty years of the Soviet state,Desconocido,1947,1940s,English,history,1,4.120482,83.0
The Lessons of History,Will Durant,1968,1960s,Other,history,21,3.857143,7.0
Freedom at Midnight,Dominique Lapierre,1975,1970s,English,history,48,4.0,15.0
The Art of War,孙武 (Sun Tzu),1900,1900s,German,history,1542,4.081761,159.0
Sapiens,Yuval Noah Harari,2011,2010s,Other,history,86,4.226601,203.0
Capitalist Realism,Mark Fisher,2009,2000s,Portuguese,history,7,4.0416665,24.0
The story of art,E. H. Gombrich,1950,1950s,English,history,44,4.1875,16.0
The Age of Revolution,Eric Hobsbawm,1962,1960s,English,history,66,3.2857144,7.0
21 Lessons for the 21st Century,Yuval Noah Harari,2018,2010s,Other,history,33,4.0227275,44.0
The Rise and Fall of the Third Reich,William L. Shirer,1901,1900s,English,history,44,4.1538463,13.0
Bumi Manusia,Pramoedya Ananta Toer,1972,1970s,Dutch,history,18,4.4246573,73.0
A history of the modern world,R. R. Palmer,1950,1950s,English,history,23,4.571429,7.0
The Dawn of Everything,David Graeber,2021,2020s,Portuguese,history,18,4.1666665,18.0
Art,Frederick Hartt,1969,1960s,English,history,37,5.0,3.0
The Unfinished Nation,Alan Brinkley,1993,1990s,English,history,49,4.3333335,3.0
The discovery of India,Jawaharlal Nehru,1946,1940s,English,history,44,4.071429,14.0
Art history,Marilyn Stokstad,1995,1990s,English,history,46,4.5,4.0
Letters from a father to his daughter,Jawaharlal Nehru,1930,1930s,Other,history,15,4.714286,7.0
Postwar,Tony Judt,2005,2000s,Other,history,18,3.8,5.0
The Enduring Vision,Paul S. Boyer,1987,1980s,English,history,110,4.6666665,9.0
A history of the English-speaking peoples,Winston S. Churchill,1950,1950s,English,history,211,3.6,5.0
History of art,H. W. Janson,1962,1960s,English,history,48,4.5,6.0
An echo in the darkness,Francine Rivers,1994,1990s,Spanish,history,17,4.4545455,11.0
